source_file,check_category,check_name,n_total,n_flagged,flagged_pct,metric_value
VED_171220_week.csv,null_rate,veh_id,539468,0,0.0,0.0
VED_180314_week.csv,null_rate,veh_id,420510,0,0.0,0.0
VED_180627_week.csv,null_rate,veh_id,410853,0,0.0,0.0
VED_180613_week.csv,null_rate,veh_id,384455,0,0.0,0.0
VED_180926_week.csv,null_rate,veh_id,382985,0,0.0,0.0
VED_180221_week.csv,null_rate,veh_id,285924,0,0.0,0.0
VED_180725_week.csv,null_rate,veh_id,333913,0,0.0,0.0
VED_180117_week.csv,null_rate,veh_id,526771,0,0.0,0.0
VED_180228_week.csv,null_rate,veh_id,402041,0,0.0,0.0
VED_180509_week.csv,null_rate,veh_id,421647,0,0.0,0.0
VED_181024_week.csv,null_rate,veh_id,442505,0,0.0,0.0
VED_180207_week.csv,null_rate,veh_id,419846,0,0.0,0.0
VED_180404_week.csv,null_rate,veh_id,461047,0,0.0,0.0
VED_180425_week.csv,null_rate,veh_id,451633,0,0.0,0.0
VED_171122_week.csv,null_rate,veh_id,474329,0,0.0,0.0
VED_180829_week.csv,null_rate,veh_id,341372,0,0.0,0.0
VED_171101_week.csv,null_rate,veh_id,489414,0,0.0,0.0
VED_180103_week.csv,null_rate,veh_id,393498,0,0.0,0.0
VED_181003_week.csv,null_rate,veh_id,348442,0,0.0,0.0
VED_181017_week.csv,null_rate,veh_id,386404,0,0.0,0.0
VED_171108_week.csv,null_rate,veh_id,535198,0,0.0,0.0
VED_171213_week.csv,null_rate,veh_id,670084,0,0.0,0.0
VED_180912_week.csv,null_rate,veh_id,351253,0,0.0,0.0
VED_180704_week.csv,null_rate,veh_id,330147,0,0.0,0.0
VED_181107_week.csv,null_rate,veh_id,118327,0,0.0,0.0
VED_180530_week.csv,null_rate,veh_id,416659,0,0.0,0.0
VED_180110_week.csv,null_rate,trip,550780,0,0.0,0.0
VED_180124_week.csv,null_rate,trip,456757,0,0.0,0.0
VED_180502_week.csv,null_rate,trip,426242,0,0.0,0.0
VED_180808_week.csv,null_rate,trip,359952,0,0.0,0.0
VED_180919_week.csv,null_rate,trip,376531,0,0.0,0.0
VED_180214_week.csv,null_rate,trip,389642,0,0.0,0.0
VED_181010_week.csv,null_rate,trip,317933,0,0.0,0.0
VED_171227_week.csv,null_rate,trip,311927,0,0.0,0.0
VED_180801_week.csv,null_rate,trip,358812,0,0.0,0.0
VED_180815_week.csv,null_rate,trip,299642,0,0.0,0.0
VED_171129_week.csv,null_rate,trip,531856,0,0.0,0.0
VED_180418_week.csv,null_rate,trip,486657,0,0.0,0.0
VED_180718_week.csv,null_rate,trip,399092,0,0.0,0.0
VED_180131_week.csv,null_rate,trip,479522,0,0.0,0.0
VED_180523_week.csv,null_rate,trip,437321,0,0.0,0.0
VED_180328_week.csv,null_rate,trip,367606,0,0.0,0.0
VED_180321_week.csv,null_rate,trip,402133,0,0.0,0.0
VED_180516_week.csv,null_rate,trip,465975,0,0.0,0.0
VED_180606_week.csv,null_rate,trip,432177,0,0.0,0.0
VED_180822_week.csv,null_rate,trip,300557,0,0.0,0.0
VED_180905_week.csv,null_rate,trip,323481,0,0.0,0.0
VED_181031_week.csv,null_rate,trip,371630,0,0.0,0.0
VED_180620_week.csv,null_rate,trip,433660,0,0.0,0.0
VED_171206_week.csv,null_rate,trip,589154,0,0.0,0.0
VED_180307_week.csv,null_rate,trip,398405,0,0.0,0.0
VED_180711_week.csv,null_rate,trip,393911,0,0.0,0.0
VED_180411_week.csv,null_rate,trip,434636,0,0.0,0.0
VED_171115_week.csv,null_rate,trip,602092,0,0.0,0.0
VED_171220_week.csv,null_rate,trip,539468,0,0.0,0.0
VED_180314_week.csv,null_rate,trip,420510,0,0.0,0.0
VED_180613_week.csv,null_rate,trip,384455,0,0.0,0.0
VED_180627_week.csv,null_rate,trip,410853,0,0.0,0.0
VED_180725_week.csv,null_rate,trip,333913,0,0.0,0.0
VED_180221_week.csv,null_rate,trip,285924,0,0.0,0.0
VED_180926_week.csv,null_rate,trip,382985,0,0.0,0.0
VED_180228_week.csv,null_rate,trip,402041,0,0.0,0.0
VED_181024_week.csv,null_rate,trip,442505,0,0.0,0.0
VED_180117_week.csv,null_rate,trip,526771,0,0.0,0.0
VED_180509_week.csv,null_rate,trip,421647,0,0.0,0.0
VED_180207_week.csv,null_rate,trip,419846,0,0.0,0.0
VED_180404_week.csv,null_rate,trip,461047,0,0.0,0.0
VED_180829_week.csv,null_rate,trip,341372,0,0.0,0.0
VED_171122_week.csv,null_rate,trip,474329,0,0.0,0.0
VED_180425_week.csv,null_rate,trip,451633,0,0.0,0.0
VED_171101_week.csv,null_rate,trip,489414,0,0.0,0.0
VED_171213_week.csv,null_rate,trip,670084,0,0.0,0.0
VED_180103_week.csv,null_rate,trip,393498,0,0.0,0.0
VED_180530_week.csv,null_rate,trip,416659,0,0.0,0.0
VED_181003_week.csv,null_rate,trip,348442,0,0.0,0.0
VED_171108_week.csv,null_rate,trip,535198,0,0.0,0.0
VED_180704_week.csv,null_rate,trip,330147,0,0.0,0.0
VED_180912_week.csv,null_rate,trip,351253,0,0.0,0.0
VED_181017_week.csv,null_rate,trip,386404,0,0.0,0.0
VED_181107_week.csv,null_rate,trip,118327,0,0.0,0.0
VED_171227_week.csv,null_rate,ts_ms,311927,0,0.0,0.0
VED_180110_week.csv,null_rate,ts_ms,550780,0,0.0,0.0
VED_180124_week.csv,null_rate,ts_ms,456757,0,0.0,0.0
VED_180502_week.csv,null_rate,ts_ms,426242,0,0.0,0.0
VED_180808_week.csv,null_rate,ts_ms,359952,0,0.0,0.0
VED_180919_week.csv,null_rate,ts_ms,376531,0,0.0,0.0
VED_180214_week.csv,null_rate,ts_ms,389642,0,0.0,0.0
VED_180801_week.csv,null_rate,ts_ms,358812,0,0.0,0.0
VED_180815_week.csv,null_rate,ts_ms,299642,0,0.0,0.0
VED_181010_week.csv,null_rate,ts_ms,317933,0,0.0,0.0
VED_171129_week.csv,null_rate,ts_ms,531856,0,0.0,0.0
VED_180131_week.csv,null_rate,ts_ms,479522,0,0.0,0.0
VED_180328_week.csv,null_rate,ts_ms,367606,0,0.0,0.0
VED_180523_week.csv,null_rate,ts_ms,437321,0,0.0,0.0
VED_180718_week.csv,null_rate,ts_ms,399092,0,0.0,0.0
VED_180418_week.csv,null_rate,ts_ms,486657,0,0.0,0.0
VED_180321_week.csv,null_rate,ts_ms,402133,0,0.0,0.0
VED_180516_week.csv,null_rate,ts_ms,465975,0,0.0,0.0
VED_180620_week.csv,null_rate,ts_ms,433660,0,0.0,0.0
VED_180606_week.csv,null_rate,ts_ms,432177,0,0.0,0.0
VED_180822_week.csv,null_rate,ts_ms,300557,0,0.0,0.0
VED_180905_week.csv,null_rate,ts_ms,323481,0,0.0,0.0
VED_181031_week.csv,null_rate,ts_ms,371630,0,0.0,0.0
VED_171206_week.csv,null_rate,ts_ms,589154,0,0.0,0.0
VED_180307_week.csv,null_rate,ts_ms,398405,0,0.0,0.0
