temp_band,n_sessions,mean_oat_c,avg_soc_pct_per_km,avg_wh_per_km,avg_distance_km,avg_soc_drop_pct
1. < 0C,448,-5.6,2.769,192.1,5.6,14.3
2. 0-10C,1040,4.7,2.402,165.6,5.6,12.6
3. 10-20C,639,15.3,2.123,137.8,5.35,12.0
4. 20-30C,998,24.6,1.897,124.4,5.62,10.9
5. 30C+,159,32.0,2.057,148.9,5.72,11.0
